id;acc;crs;name
178;0.9600;0.7953;Weimaraner
179;0.9800;0.8345;Staffordshire_bullterrier___Staffordshire_bull_terrier
180;0.9200;0.8592;American_Staffordshire_terrier___Staffordshire_terrier___American_pit_bull_terrier___pit_bull_terrier
181;0.9800;0.7744;Bedlington_terrier
182;0.9400;0.7721;Border_terrier
183;0.9600;0.8275;Kerry_blue_terrier
184;0.9800;0.7709;Irish_terrier
185;0.9400;0.7283;Norfolk_terrier
186;0.9800;0.7912;Norwich_terrier
187;0.8800;0.7820;Yorkshire_terrier
188;0.9800;0.7454;wire-haired_fox_terrier
189;0.9600;0.7542;Lakeland_terrier
190;0.9800;0.8374;Sealyham_terrier___Sealyham
191;0.9000;0.7674;Airedale___Airedale_terrier
192;0.9600;0.7275;cairn___cairn_terrier
193;0.9200;0.7819;Australian_terrier
194;0.9400;0.8429;Dandie_Dinmont___Dandie_Dinmont_terrier
195;1.0000;0.7875;Boston_bull___Boston_terrier
196;0.9600;0.8020;miniature_schnauzer
197;1.0000;0.7840;giant_schnauzer
198;1.0000;0.8541;standard_schnauzer
199;0.9800;0.7584;Scotch_terrier___Scottish_terrier___Scottie
200;1.0000;0.8052;Tibetan_terrier___chrysanthemum_dog
201;0.9800;0.7722;silky_terrier___Sydney_silky
202;1.0000;0.8277;soft-coated_wheaten_terrier
203;1.0000;0.7298;West_Highland_white_terrier
204;0.9800;0.8433;Lhasa___Lhasa_apso
205;0.9600;0.7718;flat-coated_retriever
206;0.9600;0.7056;curly-coated_retriever
207;0.9800;0.8050;golden_retriever
208;0.9600;0.8084;Labrador_retriever
209;0.9600;0.7408;Chesapeake_Bay_retriever
210;0.9400;0.7702;German_short-haired_pointer
211;0.9600;0.7734;vizsla___Hungarian_pointer
212;0.9400;0.8160;English_setter
213;0.9400;0.8488;Irish_setter___red_setter
214;0.9400;0.7885;Gordon_setter
215;0.9800;0.7599;Brittany_spaniel
216;0.9800;0.8206;clumber___clumber_spaniel
217;1.0000;0.7433;English_springer___English_springer_spaniel
218;1.0000;0.8139;Welsh_springer_spaniel
219;0.9600;0.8381;cocker_spaniel___English_cocker_spaniel___cocker
220;0.9200;0.6991;Sussex_spaniel
221;0.9800;0.7406;Irish_water_spaniel
222;0.9800;0.8069;kuvasz
223;0.9800;0.7025;schipperke
224;0.9600;0.7694;groenendael
225;0.9800;0.8132;malinois
226;0.7800;0.7687;briard
227;0.9400;0.8204;kelpie
228;0.9600;0.7782;komondor
229;0.9800;0.8027;Old_English_sheepdog___bobtail
230;0.9600;0.7570;Shetland_sheepdog___Shetland_sheep_dog___Shetland
231;0.9600;0.8251;collie
232;0.9400;0.7862;Border_collie
233;0.9200;0.7737;Bouvier_des_Flandres___Bouviers_des_Flandres
234;1.0000;0.7957;Rottweiler
235;1.0000;0.8218;German_shepherd___German_shepherd_dog___German_police_dog___alsatian
236;0.9800;0.7244;Doberman___Doberman_pinscher
237;0.9600;0.7846;miniature_pinscher
238;0.9600;0.7482;Greater_Swiss_Mountain_dog
239;1.0000;0.7800;Bernese_mountain_dog
240;1.0000;0.7493;Appenzeller
241;0.9800;0.8195;EntleBucher
242;0.9800;0.7997;boxer
243;1.0000;0.8710;bull_mastiff
244;1.0000;0.8708;Tibetan_mastiff
245;1.0000;0.8043;French_bulldog
246;0.8600;0.8222;Great_Dane
247;0.9800;0.7910;Saint_Bernard___St_Bernard
248;0.9600;0.8277;Eskimo_dog___husky
249;0.9600;0.7723;malamute___malemute___Alaskan_malamute
250;0.9800;0.7934;Siberian_husky
251;0.9800;0.7843;dalmatian___coach_dog___carriage_dog
252;0.9600;0.8241;affenpinscher___monkey_pinscher___monkey_dog
253;1.0000;0.8196;basenji
254;1.0000;0.7493;pug___pug-dog
255;1.0000;0.8678;Leonberg
256;0.9400;0.8094;Newfoundland___Newfoundland_dog
257;0.9200;0.7990;Great_Pyrenees
258;1.0000;0.7586;Samoyed___Samoyede
259;1.0000;0.8554;Pomeranian
260;0.9800;0.8220;chow___chow_chow
261;0.9800;0.8420;keeshond
262;1.0000;0.8413;Brabancon_griffon
263;0.9800;0.7426;Pembroke___Pembroke_Welsh_corgi
264;1.0000;0.7780;Cardigan___Cardigan_Welsh_corgi
265;0.9800;0.7794;toy_poodle
