id;acc;crs;name
368;0.8800;0.7943;gibbon___Hylobates_lar
369;0.8600;0.7782;siamang___Hylobates_syndactylus___Symphalangus_syndactylus
370;0.7600;0.7744;guenon___guenon_monkey
371;0.8200;0.7606;patas___hussar_monkey___Erythrocebus_patas
372;0.8600;0.7248;baboon
373;0.8200;0.7776;macaque
374;0.6200;0.7886;langur
375;0.9000;0.6844;colobus___colobus_monkey
376;1.0000;0.7251;proboscis_monkey___Nasalis_larvatus
377;0.7600;0.6819;marmoset
378;0.7600;0.5840;capuchin___ringtail___Cebus_capucinus
379;0.9200;0.6651;howler_monkey___howler
380;0.8400;0.6209;titi___titi_monkey
381;0.7400;0.6924;spider_monkey___Ateles_geoffroyi
382;0.9200;0.7705;squirrel_monkey___Saimiri_sciureus
383;0.8400;0.7227;Madagascar_cat___ring-tailed_lemur___Lemur_catta
384;0.9400;0.6123;indri___indris___Indri_indri___Indri_brevicaudatus
385;0.8400;0.7531;Indian_elephant___Elephas_maximus
386;0.9400;0.8044;African_elephant___Loxodonta_africana
387;0.9000;0.7511;lesser_panda___red_panda___panda___bear_cat___cat_bear___Ailurus_fulgens
388;0.9400;0.7027;giant_panda___panda___panda_bear___coon_bear___Ailuropoda_melanoleuca
389;0.8600;0.5649;barracouta___snoek
390;0.6600;0.5552;eel
391;0.7800;0.3827;coho___cohoe___coho_salmon___blue_jack___silver_salmon___Oncorhynchus_kisutch
392;0.9200;0.4591;rock_beauty___Holocanthus_tricolor
393;0.9000;0.2958;anemone_fish
394;0.6800;0.4934;sturgeon
395;0.6000;0.4741;gar___garfish___garpike___billfish___Lepisosteus_osseus
396;0.9200;0.7943;lionfish
397;0.8200;0.6046;puffer___pufferfish___blowfish___globefish
398;0.7400;0.6570;abacus
399;0.8600;0.7687;abaya
400;0.7400;0.5097;academic_gown___academic_robe___judge's_robe
401;0.7600;0.4851;accordion___piano_accordion___squeeze_box
402;0.5600;0.5694;acoustic_guitar
403;0.8800;0.6480;aircraft_carrier___carrier___flattop___attack_aircraft_carrier
404;0.9400;0.6426;airliner
405;0.7000;0.2568;airship___dirigible
406;0.9200;0.6577;altar
407;0.9800;0.8072;ambulance
408;0.8400;0.6841;amphibian___amphibious_vehicle
409;0.8000;0.6563;analog_clock
410;0.8600;0.4829;apiary___bee_house
411;0.7000;0.7673;apron
412;0.4600;0.5253;ashcan___trash_can___garbage_can___wastebin___ash_bin___ash-bin___ashbin___dustbin___trash_barrel___trash_bin
413;0.6200;0.5200;assault_rifle___assault_gun
414;0.3600;0.6534;backpack___back_pack___knapsack___packsack___rucksack___haversack
415;0.4400;0.7666;bakery___bakeshop___bakehouse
416;0.9000;0.1998;balance_beam___beam
417;0.9200;0.6152;balloon
418;0.6600;0.5751;ballpoint___ballpoint_pen___ballpen___Biro
419;0.6800;0.2069;Band_Aid
420;0.7200;0.5825;banjo
421;0.7800;0.7138;bannister___banister___balustrade___balusters___handrail
422;0.6200;0.3580;barbell
423;0.8000;0.4965;barber_chair
424;0.6000;0.8412;barbershop
425;0.9400;0.5929;barn
426;0.8800;0.7871;barometer
427;0.6800;0.6854;barrel___cask
428;0.7400;0.5816;barrow___garden_cart___lawn_cart___wheelbarrow
429;0.8200;0.3514;baseball
430;0.8600;0.0340;basketball
431;0.8400;0.8628;bassinet
432;0.7600;0.4985;bassoon
433;0.6400;0.1202;bathing_cap___swimming_cap
434;0.5600;0.7591;bath_towel
435;0.5600;0.6576;bathtub___bathing_tub___bath___tub
436;0.7600;0.6804;beach_wagon___station_wagon___wagon___estate_car___beach_waggon___station_waggon___waggon
437;0.9000;0.2558;beacon___lighthouse___beacon_light___pharos
438;0.4000;0.5686;beaker
439;0.9000;0.1575;bearskin___busby___shako
440;0.7000;0.5853;beer_bottle
441;0.7800;0.5855;beer_glass
442;0.9400;0.2764;bell_cote___bell_cot
443;0.6400;0.6491;bib
444;0.8600;0.6560;bicycle-built-for-two___tandem_bicycle___tandem
445;0.7800;0.3549;bikini___two-piece
446;0.7200;0.7866;binder___ring-binder
447;0.4600;0.3588;binoculars___field_glasses___opera_glasses
448;0.7600;0.6513;birdhouse
449;0.8200;0.3599;boathouse
450;0.9400;0.4336;bobsled___bobsleigh___bob
451;0.7800;0.7953;bolo_tie___bolo___bola_tie___bola
452;0.7000;0.6771;bonnet___poke_bonnet
453;0.8000;0.7212;bookcase
454;0.8200;0.8975;bookshop___bookstore___bookstall
455;0.6200;0.4074;bottlecap
456;0.6200;0.5271;bow
457;0.7200;0.1916;bow_tie___bow-tie___bowtie
458;0.8800;0.6341;brass___memorial_tablet___plaque
459;0.5400;0.3927;brassiere___bra___bandeau
460;0.7600;0.4259;breakwater___groin___groyne___mole___bulwark___seawall___jetty
461;0.7800;0.6385;breastplate___aegis___egis
462;0.6200;0.6267;broom
463;0.5400;0.5944;bucket___pail
464;0.3600;0.4110;buckle
465;0.6200;0.5127;bulletproof_vest
466;0.9000;0.5213;bullet_train___bullet
467;0.8200;0.8492;butcher_shop___meat_market
468;0.8200;0.6185;cab___hack___taxi___taxicab
469;0.4800;0.5441;caldron___cauldron
470;0.5800;0.2519;candle___taper___wax_light
471;0.7800;0.6054;cannon
472;1.0000;0.2819;canoe
473;0.7000;0.6191;can_opener___tin_opener
474;0.7000;0.7354;cardigan
475;0.9200;0.6910;car_mirror
476;0.9600;0.8785;carousel___carrousel___merry-go-round___roundabout___whirligig
477;0.6800;0.7961;carpenter's_kit___tool_kit
478;0.3800;0.6727;carton
479;0.8200;0.3884;car_wheel
480;0.6800;0.6199;cash_machine___cash_dispenser___automated_teller_machine___automatic_teller_machine___automated_teller___automatic_teller___ATM
481;0.6000;0.4339;cassette
482;0.8200;0.7731;cassette_player
483;0.8200;0.6736;castle
484;0.9600;0.6926;catamaran
485;0.7200;0.6639;CD_player
486;0.9200;0.5997;cello___violoncello
487;0.7800;0.5888;cellular_telephone___cellular_phone___cellphone___cell___mobile_phone
488;0.4000;0.5580;chain
489;0.6600;0.7565;chainlink_fence
490;0.7600;0.7784;chain_mail___ring_mail___mail___chain_armor___chain_armour___ring_armor___ring_armour
491;0.8200;0.4535;chain_saw___chainsaw
492;0.7800;0.8055;chest
493;0.6000;0.7597;chiffonier___commode
494;0.5800;0.5158;chime___bell___gong
495;0.8200;0.7608;china_cabinet___china_closet
496;0.8400;0.7399;Christmas_stocking
497;0.8600;0.7580;church___church_building
498;0.7800;0.8377;cinema___movie_theater___movie_theatre___movie_house___picture_palace
499;0.2400;0.4000;cleaver___meat_cleaver___chopper
500;0.9800;0.4580;cliff_dwelling
501;0.4600;0.6046;cloak
502;0.6600;0.6341;clog___geta___patten___sabot
503;0.5800;0.5797;cocktail_shaker
504;0.5600;0.6256;coffee_mug
505;0.7200;0.6794;coffeepot
506;0.7200;0.8181;coil___spiral___volute___whorl___helix
507;0.6800;0.5938;combination_lock
508;0.8200;0.6996;computer_keyboard___keypad
509;0.8000;0.8314;confectionery___confectionary___candy_store
510;0.9400;0.5982;container_ship___containership___container_vessel
511;0.9600;0.6877;convertible
512;0.7600;0.7274;corkscrew___bottle_screw
513;0.5800;0.3877;cornet___horn___trumpet___trump
