id;acc;crs;name
375;0.9400;0.7481;colobus___colobus_monkey
376;1.0000;0.7654;proboscis_monkey___Nasalis_larvatus
377;0.8600;0.7643;marmoset
378;0.9200;0.6557;capuchin___ringtail___Cebus_capucinus
379;0.9800;0.7521;howler_monkey___howler
380;0.9600;0.6938;titi___titi_monkey
381;0.9000;0.7705;spider_monkey___Ateles_geoffroyi
382;0.9200;0.8051;squirrel_monkey___Saimiri_sciureus
383;0.9600;0.7660;Madagascar_cat___ring-tailed_lemur___Lemur_catta
384;0.9800;0.6749;indri___indris___Indri_indri___Indri_brevicaudatus
385;0.9800;0.8345;Indian_elephant___Elephas_maximus
386;0.9800;0.8353;African_elephant___Loxodonta_africana
387;0.9600;0.8053;lesser_panda___red_panda___panda___bear_cat___cat_bear___Ailurus_fulgens
388;0.9600;0.7708;giant_panda___panda___panda_bear___coon_bear___Ailuropoda_melanoleuca
389;0.9400;0.6364;barracouta___snoek
390;0.8600;0.6767;eel
391;0.9800;0.4656;coho___cohoe___coho_salmon___blue_jack___silver_salmon___Oncorhynchus_kisutch
392;1.0000;0.5782;rock_beauty___Holocanthus_tricolor
393;0.9800;0.3680;anemone_fish
394;0.9800;0.6199;sturgeon
395;0.9400;0.5841;gar___garfish___garpike___billfish___Lepisosteus_osseus
396;0.9600;0.8562;lionfish
397;1.0000;0.7062;puffer___pufferfish___blowfish___globefish
398;0.8600;0.7828;abacus
399;0.9800;0.8634;abaya
400;0.9200;0.5992;academic_gown___academic_robe___judge's_robe
401;0.9200;0.5848;accordion___piano_accordion___squeeze_box
402;0.9200;0.6542;acoustic_guitar
403;0.9800;0.7058;aircraft_carrier___carrier___flattop___attack_aircraft_carrier
404;1.0000;0.6921;airliner
405;0.8800;0.3008;airship___dirigible
406;0.9600;0.7249;altar
407;0.9800;0.8976;ambulance
408;0.9200;0.7825;amphibian___amphibious_vehicle
409;0.9800;0.7789;analog_clock
410;0.9400;0.5711;apiary___bee_house
411;0.9000;0.8374;apron
412;0.9000;0.6652;ashcan___trash_can___garbage_can___wastebin___ash_bin___ash-bin___ashbin___dustbin___trash_barrel___trash_bin
413;0.9200;0.6179;assault_rifle___assault_gun
414;0.7000;0.7188;backpack___back_pack___knapsack___packsack___rucksack___haversack
415;0.7400;0.8194;bakery___bakeshop___bakehouse
416;1.0000;0.2217;balance_beam___beam
417;0.9800;0.6363;balloon
418;0.9400;0.6310;ballpoint___ballpoint_pen___ballpen___Biro
419;0.9400;0.3489;Band_Aid
420;1.0000;0.7404;banjo
421;0.9600;0.8156;bannister___banister___balustrade___balusters___handrail
422;0.9400;0.4519;barbell
423;0.9800;0.6386;barber_chair
424;0.9200;0.8785;barbershop
425;0.9600;0.6836;barn
426;1.0000;0.8506;barometer
427;0.9200;0.7348;barrel___cask
428;0.9000;0.7256;barrow___garden_cart___lawn_cart___wheelbarrow
429;0.9800;0.3328;baseball
430;0.9800;0.0567;basketball
431;0.9200;0.9169;bassinet
432;1.0000;0.6438;bassoon
433;0.9400;0.1835;bathing_cap___swimming_cap
434;0.8400;0.8415;bath_towel
435;0.9000;0.7240;bathtub___bathing_tub___bath___tub
436;0.8200;0.7904;beach_wagon___station_wagon___wagon___estate_car___beach_waggon___station_waggon___waggon
437;0.9400;0.2774;beacon___lighthouse___beacon_light___pharos
438;0.7600;0.6043;beaker
439;0.9400;0.1603;bearskin___busby___shako
440;0.9200;0.6334;beer_bottle
441;0.9600;0.6788;beer_glass
442;1.0000;0.3081;bell_cote___bell_cot
443;0.8600;0.7243;bib
444;0.9800;0.7970;bicycle-built-for-two___tandem_bicycle___tandem
445;0.9000;0.4347;bikini___two-piece
446;0.9400;0.8662;binder___ring-binder
447;0.8600;0.4596;binoculars___field_glasses___opera_glasses
448;0.9600;0.7557;birdhouse
449;1.0000;0.4356;boathouse
450;0.9800;0.5588;bobsled___bobsleigh___bob
451;0.9200;0.8428;bolo_tie___bolo___bola_tie___bola
452;0.8800;0.7620;bonnet___poke_bonnet
453;0.9200;0.8220;bookcase
454;0.8800;0.9361;bookshop___bookstore___bookstall
455;0.8800;0.4578;bottlecap
