id;acc;crs;name
230;0.9600;0.7939;Shetland_sheepdog___Shetland_sheep_dog___Shetland
231;0.9600;0.8573;collie
232;0.9400;0.8065;Border_collie
233;0.9200;0.7952;Bouvier_des_Flandres___Bouviers_des_Flandres
234;1.0000;0.8255;Rottweiler
235;1.0000;0.8508;German_shepherd___German_shepherd_dog___German_police_dog___alsatian
236;0.9800;0.7504;Doberman___Doberman_pinscher
237;0.9600;0.8115;miniature_pinscher
238;0.9600;0.7823;Greater_Swiss_Mountain_dog
239;1.0000;0.8029;Bernese_mountain_dog
240;1.0000;0.7842;Appenzeller
241;0.9800;0.8409;EntleBucher
242;0.9800;0.8250;boxer
243;1.0000;0.8922;bull_mastiff
244;1.0000;0.8845;Tibetan_mastiff
245;1.0000;0.8334;French_bulldog
246;0.8600;0.8584;Great_Dane
247;0.9800;0.8198;Saint_Bernard___St_Bernard
248;0.9600;0.8507;Eskimo_dog___husky
249;0.9600;0.8083;malamute___malemute___Alaskan_malamute
250;0.9800;0.8230;Siberian_husky
251;0.9800;0.8056;dalmatian___coach_dog___carriage_dog
252;0.9600;0.8378;affenpinscher___monkey_pinscher___monkey_dog
253;1.0000;0.8441;basenji
254;1.0000;0.7684;pug___pug-dog
255;1.0000;0.8762;Leonberg
256;0.9400;0.8333;Newfoundland___Newfoundland_dog
257;0.9200;0.8388;Great_Pyrenees
258;1.0000;0.7949;Samoyed___Samoyede
259;1.0000;0.8744;Pomeranian
260;0.9800;0.8466;chow___chow_chow
261;0.9800;0.8655;keeshond
262;1.0000;0.8649;Brabancon_griffon
263;0.9800;0.7770;Pembroke___Pembroke_Welsh_corgi
264;1.0000;0.8011;Cardigan___Cardigan_Welsh_corgi
265;0.9800;0.8078;toy_poodle
266;0.9400;0.8327;miniature_poodle
267;1.0000;0.8006;standard_poodle
268;1.0000;0.8810;Mexican_hairless
269;0.9400;0.8216;timber_wolf___grey_wolf___gray_wolf___Canis_lupus
270;0.9800;0.7581;white_wolf___Arctic_wolf___Canis_lupus_tundrarum
271;0.9600;0.8350;red_wolf___maned_wolf___Canis_rufus___Canis_niger
272;0.9000;0.7494;coyote___prairie_wolf___brush_wolf___Canis_latrans
273;0.9000;0.7277;dingo___warrigal___warragal___Canis_dingo
274;0.9800;0.7818;dhole___Cuon_alpinus
275;1.0000;0.8062;African_hunting_dog___hyena_dog___Cape_hunting_dog___Lycaon_pictus
276;0.9800;0.6969;hyena___hyaena
277;0.9400;0.7950;red_fox___Vulpes_vulpes
278;0.9800;0.7200;kit_fox___Vulpes_macrotis
279;1.0000;0.8084;Arctic_fox___white_fox___Alopex_lagopus
280;0.9600;0.7646;grey_fox___gray_fox___Urocyon_cinereoargenteus
281;0.9600;0.8907;tabby___tabby_cat
282;0.9600;0.8793;tiger_cat
283;1.0000;0.9249;Persian_cat
284;0.9800;0.9138;Siamese_cat___Siamese
285;0.8800;0.8232;Egyptian_cat
286;0.9600;0.8526;cougar___puma___catamount___mountain_lion___painter___panther___Felis_concolor
287;0.9200;0.8611;lynx___catamount
288;1.0000;0.8819;leopard___Panthera_pardus
289;0.9800;0.8754;snow_leopard___ounce___Panthera_uncia
290;0.9800;0.8799;jaguar___panther___Panthera_onca___Felis_onca
291;1.0000;0.8994;lion___king_of_beasts___Panthera_leo
292;1.0000;0.8827;tiger___Panthera_tigris
293;0.9800;0.8226;cheetah___chetah___Acinonyx_jubatus
294;0.9600;0.7610;brown_bear___bruin___Ursus_arctos
295;1.0000;0.7546;American_black_bear___black_bear___Ursus_americanus___Euarctos_americanus
296;0.9800;0.6930;ice_bear___polar_bear___Ursus_Maritimus___Thalarctos_maritimus
297;0.9200;0.8207;sloth_bear___Melursus_ursinus___Ursus_ursinus
298;0.9400;0.6378;mongoose
299;0.9800;0.7263;meerkat___mierkat
300;0.9600;0.7830;tiger_beetle
301;0.9800;0.3267;ladybug___ladybeetle___lady_beetle___ladybird___ladybird_beetle
302;0.9600;0.8753;ground_beetle___carabid_beetle
303;0.9400;0.8123;long-horned_beetle___longicorn___longicorn_beetle
304;0.9800;0.4786;leaf_beetle___chrysomelid
305;0.9600;0.4132;dung_beetle
306;0.9600;0.7704;rhinoceros_beetle
307;1.0000;0.6781;weevil
308;0.9600;0.7337;fly
309;0.9800;0.4295;bee
310;0.9000;0.6996;ant___emmet___pismire
311;0.9600;0.7977;grasshopper___hopper
312;0.9800;0.8202;cricket
313;0.9600;0.8339;walking_stick___walkingstick___stick_insect
314;0.8400;0.5261;cockroach___roach
315;0.9400;0.8568;mantis___mantid
316;0.9800;0.7230;cicada___cicala
317;1.0000;0.6352;leafhopper
318;0.9400;0.7673;lacewing___lacewing_fly
319;1.0000;0.7565;dragonfly___darning_needle___devil's_darning_needle___sewing_needle___snake_feeder___snake_doctor___mosquito_hawk___skeeter_hawk
320;1.0000;0.6763;damselfly
321;0.9800;0.7399;admiral
322;1.0000;0.5496;ringlet___ringlet_butterfly
323;0.9400;0.6076;monarch___monarch_butterfly___milkweed_butterfly___Danaus_plexippus
324;1.0000;0.5902;cabbage_butterfly
325;1.0000;0.6656;sulphur_butterfly___sulfur_butterfly
326;1.0000;0.7028;lycaenid___lycaenid_butterfly
327;0.9800;0.7622;starfish___sea_star
328;0.9600;0.7388;sea_urchin
329;0.9200;0.6445;sea_cucumber___holothurian
330;0.9600;0.7300;wood_rabbit___cottontail___cottontail_rabbit
331;1.0000;0.7135;hare
332;1.0000;0.8264;Angora___Angora_rabbit
333;1.0000;0.7799;hamster
334;0.9400;0.7625;porcupine___hedgehog
335;0.9200;0.7029;fox_squirrel___eastern_fox_squirrel___Sciurus_niger
336;0.9200;0.5209;marmot
337;0.9800;0.6914;beaver
338;0.9600;0.7424;guinea_pig___Cavia_cobaya
339;0.9800;0.8447;sorrel
340;0.9800;0.7960;zebra
341;0.9200;0.6795;hog___pig___grunter___squealer___Sus_scrofa
342;0.9800;0.7131;wild_boar___boar___Sus_scrofa
343;0.9800;0.7033;warthog
344;0.9800;0.6938;hippopotamus___hippo___river_horse___Hippopotamus_amphibius
345;0.9600;0.6576;ox
346;0.9800;0.6068;water_buffalo___water_ox___Asiatic_buffalo___Bubalus_bubalis
347;0.9800;0.7238;bison
348;0.9800;0.7777;ram___tup
349;1.0000;0.6663;bighorn___bighorn_sheep___cimarron___Rocky_Mountain_bighorn___Rocky_Mountain_sheep___Ovis_canadensis
350;1.0000;0.6509;ibex___Capra_ibex
351;1.0000;0.5937;hartebeest
352;0.9800;0.6345;impala___Aepyceros_melampus
353;0.9800;0.5725;gazelle
354;0.9600;0.7567;Arabian_camel___dromedary___Camelus_dromedarius
355;0.9400;0.8288;llama
356;0.9800;0.7441;weasel
357;0.9400;0.6071;mink
